name,version,creation,description,lien
scipy,1.14.1,"Aug 21, 2024",Fundamental algorithms for scientific computing in Python,https://pypi.org/project/scipy/
intel-scipy,1.7.4,"Nov 30, 2023",SciPy: Scientific Library for Python,https://pypi.org/project/intel-scipy/
arma-scipy,1.1,"Jan 7, 2019",Estimating coefficients of ARMA models with the Scipy package.,https://pypi.org/project/arma-scipy/
nbdev-scipy,0.0.1229,"Jan 1, 2024",nbdev docs lookup for scipy,https://pypi.org/project/nbdev-scipy/
scipy-openblas32,0.3.28.0.2,"Aug 12, 2024",Provides OpenBLAS for python packaging,https://pypi.org/project/scipy-openblas32/
scipy-openblas64,0.3.28.0.2,"Aug 12, 2024",Provides OpenBLAS for python packaging,https://pypi.org/project/scipy-openblas64/
scipy-optimstruct,0.1.2,"Oct 30, 2021",Enable easier organization of variables and constraints for Scipy Optimize,https://pypi.org/project/scipy-optimstruct/
scipy-pilutil,0.2.1,"Dec 23, 2023",scipy.misc.pilutil module for legacy code,https://pypi.org/project/scipy-pilutil/
scipy-psdm,0.2.2,"Jul 20, 2022",transform an ill-conditioned quadratic matrix to a positive semidefinite matrix,https://pypi.org/project/scipy-psdm/
scipy-quadopt,0.2.0,"Jul 10, 2023",Wrapper and utility functions to apply scipy's SLSQP algorithm to quadratic optimization problems with resource constraints and upper boundaries.,https://pypi.org/project/scipy-quadopt/
scipy-stack,0.0.5,"Oct 26, 2017",Helper to install the SciPy stack,https://pypi.org/project/scipy-stack/
scipy-statistics,1.0.0,"Apr 29, 2024",SciPy Stats,https://pypi.org/project/scipy-statistics/
scipy-steadystate,0.1,"Feb 10, 2021",SciPy extension modules for general purpose steady-state solvers for differential state-equations.,https://pypi.org/project/scipy-steadystate/
scipy-stubs,1.4.1a3,"Sep 8, 2024",Type stubs for SciPy,https://pypi.org/project/scipy-stubs/
scipy-sugar,1.0.9,"Dec 13, 2018",Missing SciPy functionalities,https://pypi.org/project/scipy-sugar/
scipy-tweaks,0.1.3,"Apr 27, 2021",Utility functions for scipy.,https://pypi.org/project/scipy-tweaks/
scipy-weave,0.19.0,"Nov 30, 2022",scipy-weave: a C++ compiler for Python 2.,https://pypi.org/project/scipy-weave/
skewt-scipy,0.1.1,"Feb 28, 2024",The skew student t distribution,https://pypi.org/project/skewt-scipy/
splinecloud-scipy,1.2.6,"Jan 18, 2024",A SplineCloud client based on SciPy.,https://pypi.org/project/splinecloud-scipy/
scipy-calculator,1.0.0,"Jun 22, 2021",A Scientific calculator,https://pypi.org/project/scipy-calculator/
